Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,SEN5,TCPU,x86_pk,SEN2,SEN4,INT340,TCPU_P,acpitz,SEN3,CPU,Freq,Simulador,Escenario,Medicion,Repeticion,GUI,GPU,Estado,timestamp,gpu_util_percent,gpu_mem_used_MB,gpu_mem_total_MB,gpu_power_W,gpu_temp_C,cpu_percent,cpu_user_percent,cpu_system_percent,cpu_idle_percent,cpu_freq_MHz,load_avg_1,load_avg_5,load_avg_15,total_tasks,total_threads,running_tasks,real_time_factor,iterations,total_MB,used_MB,available_MB,percent,free_MB,active_MB,inactive_MB,buffers_MB,cached_MB,swap_total_MB,swap_used_MB,swap_free_MB
13:56:07,38.2,0.1,12.2,49.4,0.1,2.0,449231.0,58375.0,61.32,43.05,51.05,52.0,42.05,41.05,20.0,52.0,51.0,42.05,2.95,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:08,33.7,0.1,10.9,55.3,0.0,4.0,422366.0,52184.0,59.68,43.05,51.05,52.0,42.05,42.05,20.0,52.0,51.0,42.05,1.79,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:09,33.8,0.1,11.3,54.8,0.0,3.0,430017.0,50981.0,59.68,44.05,51.05,51.0,42.05,42.05,20.0,51.0,51.0,42.05,1.91,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:10,40.0,0.0,12.1,47.9,0.1,5.0,451166.0,56417.0,61.79,44.05,51.05,52.0,42.05,42.05,20.0,52.0,51.0,42.05,2.94,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:11,34.8,0.1,11.3,53.4,0.3,8.0,440870.0,57923.0,60.96,44.05,52.05,52.0,43.05,42.05,20.0,52.0,52.0,42.05,2.39,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:12,35.4,0.1,10.8,53.4,0.3,17.0,449141.0,53444.0,61.22,44.05,52.05,56.0,43.05,42.05,20.0,56.0,52.0,42.05,3.05,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:13,34.9,0.1,11.1,53.8,0.3,4.0,431957.0,51576.0,60.87,44.05,52.05,51.0,43.05,43.05,20.0,50.0,52.0,42.05,2.54,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:14,34.1,0.0,11.1,54.8,0.0,4.0,430312.0,51857.0,60.6,44.05,52.05,52.0,43.05,43.05,20.0,52.0,52.0,42.05,2.73,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:15,35.4,0.1,10.3,54.2,0.0,30.0,435297.0,52461.0,60.37,44.05,52.05,53.0,43.05,43.05,20.0,53.0,52.0,42.05,2.08,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:56:16,35.8,0.0,11.3,52.9,0.0,3.0,451114.0,61378.0,60.48,44.05,53.05,55.0,44.05,43.05,20.0,55.0,53.0,42.05,2.18,GHz,Ignition,sin_cargar_gui_gpu,powerstat,1,GUI Si,GPU Si,sin_cargar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
