timestamp,real_time_factor,iterations
2025-07-05 19:32:23,0.073,12
2025-07-05 19:32:24,0.3,61
2025-07-05 19:32:25,0.432,109
2025-07-05 19:32:26,0.523,158
2025-07-05 19:32:27,0.589,207
2025-07-05 19:32:28,0.637,256
2025-07-05 19:32:29,0.673,304
2025-07-05 19:32:30,0.704,353
2025-07-05 19:32:31,0.729,402
2025-07-05 19:32:32,0.748,450
2025-07-05 19:32:33,0.766,499
2025-07-05 19:32:34,0.78,547
2025-07-05 19:32:35,0.793,596
2025-07-05 19:32:36,0.805,645
2025-07-05 19:32:37,0.815,694
2025-07-05 19:32:38,0.824,743
2025-07-05 19:32:39,0.832,791
2025-07-05 19:32:40,0.839,840
2025-07-05 19:32:41,0.846,889
2025-07-05 19:32:42,0.852,938
2025-07-05 19:32:43,0.857,987
2025-07-05 19:32:44,0.862,1035
2025-07-05 19:32:45,0.866,1084
2025-07-05 19:32:46,0.87,1132
2025-07-05 19:32:47,0.874,1181
2025-07-05 19:32:48,0.878,1230
2025-07-05 19:32:49,0.881,1279
2025-07-05 19:32:50,0.885,1328
2025-07-05 19:32:51,0.888,1377
2025-07-05 19:32:52,0.891,1426
2025-07-05 19:32:53,0.893,1475
2025-07-05 19:32:54,0.895,1523
2025-07-05 19:32:55,0.898,1572
2025-07-05 19:32:56,0.9,1621
2025-07-05 19:32:57,0.902,1670
2025-07-05 19:32:58,0.904,1718
2025-07-05 19:32:59,0.906,1767
2025-07-05 19:33:00,0.907,1816
2025-07-05 19:33:01,0.909,1865
2025-07-05 19:33:02,0.911,1914
2025-07-05 19:33:03,0.912,1962
2025-07-05 19:33:04,0.913,2010
2025-07-05 19:33:05,0.915,2059
2025-07-05 19:33:06,0.916,2108
2025-07-05 19:33:07,0.917,2157
2025-07-05 19:33:08,0.919,2206
2025-07-05 19:33:09,0.92,2254
2025-07-05 19:33:10,0.921,2303
2025-07-05 19:33:11,0.922,2352
2025-07-05 19:33:12,0.923,2400
2025-07-05 19:33:13,0.924,2449
2025-07-05 19:33:14,0.925,2498
2025-07-05 19:33:15,0.926,2547
2025-07-05 19:33:16,0.927,2596
2025-07-05 19:33:17,0.928,2645
2025-07-05 19:33:18,0.929,2694
2025-07-05 19:33:19,0.929,2742
2025-07-05 19:33:20,0.93,2791
2025-07-05 19:33:21,0.931,2840
2025-07-05 19:33:22,0.931,2888
2025-07-05 19:33:23,0.932,2936
2025-07-05 19:33:24,0.932,2985
2025-07-05 19:33:25,0.933,3034
2025-07-05 19:33:26,0.934,3082
2025-07-05 19:33:27,0.934,3131
2025-07-05 19:33:28,0.935,3180
2025-07-05 19:33:29,0.936,3229
2025-07-05 19:33:30,0.936,3277
2025-07-05 19:33:31,0.937,3326
2025-07-05 19:33:32,0.937,3374
2025-07-05 19:33:33,0.938,3423
2025-07-05 19:33:34,0.938,3472
2025-07-05 19:33:35,0.939,3521
2025-07-05 19:33:36,0.939,3570
2025-07-05 19:33:37,0.94,3619
2025-07-05 19:33:38,0.94,3667
2025-07-05 19:33:39,0.941,3716
2025-07-05 19:33:40,0.941,3765
2025-07-05 19:33:41,0.941,3814
2025-07-05 19:33:42,0.942,3862
2025-07-05 19:33:43,0.942,3911
2025-07-05 19:33:44,0.943,3960
2025-07-05 19:33:45,0.943,4009
2025-07-05 19:33:46,0.943,4058
2025-07-05 19:33:47,0.944,4106
2025-07-05 19:33:48,0.944,4155
2025-07-05 19:33:49,0.944,4204
2025-07-05 19:33:50,0.945,4252
2025-07-05 19:33:51,0.945,4301
2025-07-05 19:33:52,0.945,4350
2025-07-05 19:33:53,0.946,4399
2025-07-05 19:33:54,0.946,4447
2025-07-05 19:33:55,0.946,4496
2025-07-05 19:33:56,0.947,4545
2025-07-05 19:33:57,0.947,4593
2025-07-05 19:33:58,0.947,4642
2025-07-05 19:33:59,0.947,4691
2025-07-05 19:34:00,0.948,4740
2025-07-05 19:34:01,0.948,4789
2025-07-05 19:34:02,0.948,4837
2025-07-05 19:34:03,0.949,4886
2025-07-05 19:34:04,0.949,4935
2025-07-05 19:34:05,0.949,4984
2025-07-05 19:34:06,0.949,5033
2025-07-05 19:34:07,0.95,5082
2025-07-05 19:34:08,0.95,5130
2025-07-05 19:34:09,0.95,5179
2025-07-05 19:34:10,0.95,5228
2025-07-05 19:34:11,0.951,5277
2025-07-05 19:34:12,0.951,5326
2025-07-05 19:34:13,0.951,5375
2025-07-05 19:34:14,0.951,5424
2025-07-05 19:34:15,0.951,5472
2025-07-05 19:34:16,0.952,5521
2025-07-05 19:34:17,0.952,5570
2025-07-05 19:34:18,0.952,5619
2025-07-05 19:34:19,0.952,5668
2025-07-05 19:34:20,0.953,5717
2025-07-05 19:34:21,0.953,5765
2025-07-05 19:34:22,0.953,5814
2025-07-05 19:34:23,0.953,5863
2025-07-05 19:34:24,0.953,5911
2025-07-05 19:34:25,0.953,5960
2025-07-05 19:34:26,0.954,6009
2025-07-05 19:34:27,0.954,6058
2025-07-05 19:34:28,0.954,6106
2025-07-05 19:34:29,0.954,6155
2025-07-05 19:34:30,0.954,6204
2025-07-05 19:34:31,0.954,6252
2025-07-05 19:34:32,0.955,6301
2025-07-05 19:34:33,0.955,6350
2025-07-05 19:34:34,0.955,6399
2025-07-05 19:34:35,0.955,6448
2025-07-05 19:34:36,0.955,6496
2025-07-05 19:34:37,0.955,6545
2025-07-05 19:34:38,0.956,6594
2025-07-05 19:34:39,0.956,6643
2025-07-05 19:34:40,0.956,6692
2025-07-05 19:34:41,0.956,6740
2025-07-05 19:34:42,0.956,6788
2025-07-05 19:34:43,0.956,6838
2025-07-05 19:34:44,0.956,6886
2025-07-05 19:34:45,0.956,6935
2025-07-05 19:34:46,0.956,6983
2025-07-05 19:34:47,0.957,7032
2025-07-05 19:34:48,0.957,7081
2025-07-05 19:34:49,0.957,7130
2025-07-05 19:34:50,0.957,7178
2025-07-05 19:34:51,0.957,7227
2025-07-05 19:34:52,0.957,7276
2025-07-05 19:34:53,0.957,7324
2025-07-05 19:34:54,0.957,7373
2025-07-05 19:34:55,0.958,7422
2025-07-05 19:34:56,0.958,7470
2025-07-05 19:34:57,0.958,7519
