timestamp,real_time_factor,iterations
2025-07-05 12:51:56,0.0015,2
2025-07-05 12:51:58,0.0032,5
2025-07-05 12:51:59,0.4693,98
2025-07-05 12:52:00,0.1816,183
2025-07-05 12:52:01,0.4202,284
2025-07-05 12:52:02,0.2777,385
2025-07-05 12:52:03,0.3948,496
2025-07-05 12:52:04,0.4108,615
2025-07-05 12:52:05,0.3374,732
2025-07-05 12:52:06,0.3147,844
2025-07-05 12:52:07,0.5353,955
2025-07-05 12:52:08,0.312,1070
2025-07-05 12:52:09,0.3495,1179
2025-07-05 12:52:10,0.3162,1291
2025-07-05 12:52:11,0.3021,1404
2025-07-05 12:52:12,0.437,1516
2025-07-05 12:52:13,0.3237,1628
2025-07-05 12:52:14,0.266,1742
2025-07-05 12:52:15,0.3212,1850
2025-07-05 12:52:16,0.3637,1962
2025-07-05 12:52:17,0.3403,2069
2025-07-05 12:52:18,0.446,2177
2025-07-05 12:52:19,0.2853,2284
2025-07-05 12:52:20,0.3494,2388
2025-07-05 12:52:21,0.3124,2498
2025-07-05 12:52:22,0.3244,2599
2025-07-05 12:52:23,0.3846,2706
2025-07-05 12:52:24,0.3053,2812
2025-07-05 12:52:25,0.4796,2924
2025-07-05 12:52:26,0.3216,3037
2025-07-05 12:52:27,0.4354,3156
2025-07-05 12:52:28,0.4198,3276
2025-07-05 12:52:29,0.4014,3391
2025-07-05 12:52:30,0.2759,3506
2025-07-05 12:52:31,0.3916,3618
2025-07-05 12:52:32,0.3572,3735
2025-07-05 12:52:33,0.3608,3850
2025-07-05 12:52:34,0.4046,3959
2025-07-05 12:52:35,0.3015,4071
2025-07-05 12:52:36,0.319,4181
2025-07-05 12:52:37,0.3677,4291
2025-07-05 12:52:38,0.2999,4414
2025-07-05 12:52:39,0.3183,4529
2025-07-05 12:52:40,0.2364,4638
2025-07-05 12:52:41,0.3608,4753
2025-07-05 12:52:42,0.3697,4874
2025-07-05 12:52:43,0.3264,4991
2025-07-05 12:52:44,0.3156,5111
2025-07-05 12:52:45,0.3644,5226
2025-07-05 12:52:46,0.2897,5340
2025-07-05 12:52:47,0.3447,5457
2025-07-05 12:52:48,0.4533,5575
2025-07-05 12:52:49,0.4665,5698
2025-07-05 12:52:50,0.4343,5818
2025-07-05 12:52:51,0.4415,5938
2025-07-05 12:52:52,0.279,6057
2025-07-05 12:52:53,0.359,6178
2025-07-05 12:52:54,0.3186,6300
2025-07-05 12:52:55,0.4601,6423
2025-07-05 12:52:56,0.383,6540
2025-07-05 12:52:57,0.3181,6663
2025-07-05 12:52:58,0.4579,6786
2025-07-05 12:52:59,0.3713,6907
2025-07-05 12:53:01,0.2825,7026
2025-07-05 12:53:02,0.3061,7143
2025-07-05 12:53:03,0.3998,7258
2025-07-05 12:53:04,0.311,7371
2025-07-05 12:53:05,0.4174,7492
2025-07-05 12:53:06,0.3123,7613
2025-07-05 12:53:07,0.306,7730
2025-07-05 12:53:08,0.4011,7844
2025-07-05 12:53:09,0.3504,7959
2025-07-05 12:53:10,0.3236,8069
2025-07-05 12:53:11,0.4788,8183
2025-07-05 12:53:12,0.3598,8300
2025-07-05 12:53:13,0.3759,8417
2025-07-05 12:53:14,0.3819,8537
2025-07-05 12:53:15,0.3275,8652
2025-07-05 12:53:16,0.3179,8775
2025-07-05 12:53:17,0.4013,8889
2025-07-05 12:53:18,0.3702,9015
2025-07-05 12:53:19,0.316,9138
2025-07-05 12:53:20,0.4032,9252
2025-07-05 12:53:21,0.3323,9373
2025-07-05 12:53:22,0.3092,9485
2025-07-05 12:53:23,0.3836,9593
2025-07-05 12:53:24,0.3015,9703
2025-07-05 12:53:25,0.3272,9818
2025-07-05 12:53:26,0.4386,9932
2025-07-05 12:53:27,0.3435,10044
2025-07-05 12:53:28,0.3607,10154
2025-07-05 12:53:29,0.2499,10264
2025-07-05 12:53:30,0.3195,10377
2025-07-05 12:53:31,0.3674,10484
2025-07-05 12:53:32,0.3253,10593
2025-07-05 12:53:33,0.3045,10695
2025-07-05 12:53:34,0.3908,10803
2025-07-05 12:53:35,0.3374,10919
2025-07-05 12:53:36,0.4126,11031
2025-07-05 12:53:37,0.2836,11144
2025-07-05 12:53:38,0.317,11255
2025-07-05 12:53:39,0.4052,11364
2025-07-05 12:53:40,0.36,11484
2025-07-05 12:53:41,0.3036,11602
2025-07-05 12:53:42,0.4008,11714
